canonicalName,aliases,sourcePath,componentType,serviceDomainPlane,capabilityDescription,backendApiContractStatus,frontendSurfaceExpected,currentFrontendRouteComponent,mobileSurfaceExpected,currentMobileScreenComponent,apiClientHook,workflowEventDependency,databaseMigrationDependency,trustSecurityDependency,relatedServices,currentCompletenessStatus,currentBlocker,recommendedClassification
"experience-bff:VitoQrBffController","/internal/v1/vito/qr","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/VitoQrBffController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:VitoRegistryAdminBffController","/internal/v1/vito/registry","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/VitoRegistryAdminBffController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:VitoSlipsBffController","/internal/v1/vito/slips","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/VitoSlipsBffController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:WalletController","/internal/v1/wallet","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/WalletController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:WellnessController","/internal/v1/wellness","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/WellnessController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:WorkflowController","/internal/v1/workflows","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/WorkflowController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:WorkforceGovernanceController","/internal/v1/workforce-governance","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/WorkforceGovernanceController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:WorkspaceController","/internal/v1/workspaces","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/WorkspaceController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:ZiboRegistryProxyController","/internal/v1/registry/zibo","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/ZiboRegistryProxyController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:MobileDiagnosisController","/internal/v1/mobile/provider/diagnosis","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/MobileDiagnosisController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:MobileDischargeController","/internal/v1/mobile/provider/discharge","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/MobileDischargeController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:MobileEncounterController","/internal/v1/mobile/provider/encounters","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/MobileEncounterController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:MobileFormController","/internal/v1/mobile/provider/forms","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/MobileFormController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:MobileHouseholdController","/internal/v1/mobile/provider","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/MobileHouseholdController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:MobileInventoryController","/internal/v1/mobile/provider/inventory","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/MobileInventoryController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:MobileLabController","/internal/v1/mobile/provider/labs","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/MobileLabController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:MobileMessagingController","/internal/v1/mobile/provider/messaging","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/MobileMessagingController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:MobileNoticesController","/internal/v1/mobile/provider/notices","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/MobileNoticesController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:MobileOfflineController","/internal/v1/mobile/provider/offline","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/MobileOfflineController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:MobilePrescriptionController","/internal/v1/mobile/provider/prescriptions","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/MobilePrescriptionController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:MobileProfileController","/internal/v1/mobile/provider/profile","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/MobileProfileController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:MobileProviderSearchController","/internal/v1/mobile/provider/search","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/MobileProviderSearchController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:MobileReferralController","/internal/v1/mobile/provider/referrals","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/MobileReferralController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:MobileResultsController","/internal/v1/mobile/provider/labs/results","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/MobileResultsController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:MobileScheduleController","/internal/v1/mobile/provider/schedule","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/MobileScheduleController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:MobileSupervisorController","/internal/v1/mobile/provider/supervisor","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/MobileSupervisorController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:MobileSupportController","/internal/v1/mobile/provider/support","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/MobileSupportController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:MobileTaskController","/internal/v1/mobile/provider/tasks","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/MobileTaskController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:MobileTelemedicineController","/internal/v1/mobile/provider/telemedicine","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/MobileTelemedicineController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:MobileTriageController","/internal/v1/mobile/provider/triage","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/MobileTriageController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:MobileVitalsController","/internal/v1/mobile/provider/vitals","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/MobileVitalsController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:CitizenAppointmentController","/internal/v1/mobile/citizen/appointments","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/citizen/CitizenAppointmentController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:CitizenConsentController","/internal/v1/mobile/citizen/consents","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/citizen/CitizenConsentController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:CitizenCoverageController","/internal/v1/mobile/citizen/coverage","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/citizen/CitizenCoverageController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:CitizenDeliveryController","/internal/v1/mobile/citizen/deliveries","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/citizen/CitizenDeliveryController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:CitizenFeedController","/internal/v1/mobile/citizen/feed","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/citizen/CitizenFeedController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:CitizenHealthSummaryController","/v1","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/citizen/CitizenHealthSummaryController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:CitizenIntegrationController","/internal/v1/mobile/citizen/integration","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/citizen/CitizenIntegrationController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:CitizenLongtailController","/internal/v1/mobile/citizen","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/citizen/CitizenLongtailController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:CitizenMarketplaceController","/internal/v1/mobile/citizen/marketplace","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/citizen/CitizenMarketplaceController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:CitizenMessagingController","/internal/v1/mobile/citizen/messaging","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/citizen/CitizenMessagingController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:CitizenNhumeController","/internal/v1/mobile/citizen/nhume","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/citizen/CitizenNhumeController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:CitizenPrescriptionController","/internal/v1/mobile/citizen/prescriptions","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/citizen/CitizenPrescriptionController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:CitizenProfileController","/internal/v1/mobile/citizen/profile","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/citizen/CitizenProfileController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:CitizenPublicHealthController","/internal/v1/mobile/citizen/public-health","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/citizen/CitizenPublicHealthController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:CitizenRecordsController","/internal/v1/mobile/citizen/records","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/citizen/CitizenRecordsController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:CitizenRemindersController","/internal/v1/mobile/citizen/reminders","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/citizen/CitizenRemindersController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:CitizenResultsController","/internal/v1/mobile/citizen/results","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/citizen/CitizenResultsController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:CitizenSocialController","/internal/v1/mobile/citizen/social","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/citizen/CitizenSocialController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:CitizenSupportController","/internal/v1/mobile/citizen/support","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/citizen/CitizenSupportController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:CitizenTelehealthController","/internal/v1/mobile/citizen/telehealth","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/citizen/CitizenTelehealthController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:CitizenTimelineController","/internal/v1/mobile/citizen/timeline","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/citizen/CitizenTimelineController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:ProviderAdminRegistryController","/internal/v1/mobile/provider/admin-registry","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/provider/ProviderAdminRegistryController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:ProviderDeliveryController","/internal/v1/mobile/provider/deliveries","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/provider/ProviderDeliveryController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:ProviderDeveloperHubController","/internal/v1/mobile/provider/developer","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/provider/ProviderDeveloperHubController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:ProviderIntegrationController","/internal/v1/mobile/provider/integration","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/provider/ProviderIntegrationController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:ProviderNhumeController","/internal/v1/mobile/provider/nhume","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/provider/ProviderNhumeController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:ProviderOpsReportsController","/internal/v1/mobile/provider/ops-reports","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/provider/ProviderOpsReportsController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:ProviderProfessionalChannelsHubController","/internal/v1/mobile/provider/professional-channels","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/provider/ProviderProfessionalChannelsHubController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:ProviderProfessionalSettingsHubController","/internal/v1/mobile/provider/professional-settings","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/provider/ProviderProfessionalSettingsHubController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:ProviderPublicHealthController","/internal/v1/mobile/provider/public-health","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/provider/ProviderPublicHealthController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:ProviderReportsController","/internal/v1/mobile/provider/reports","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/provider/ProviderReportsController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:ProviderSocialController","/internal/v1/mobile/provider/social","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/controller/mobile/provider/ProviderSocialController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:RegistryIntakeController","/internal/v1/registry-intake","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/intake/RegistryIntakeController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"experience-bff:WellnessServiceProxyController","/v1","services/experience-bff/src/main/java/zw/gov/mohcc/impilo/experience/wellness/proxy/WellnessServiceProxyController.java","backend-controller","experience/workflow-orchestration","REST controller for experience-bff","contracts/openapi/experience-bff.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","experience-bff","implemented-or-partial","","bff-api-facade"
"fhir-gateway-service","FHIR Gateway","services/fhir-gateway-service","backend-service","clinical/care-delivery","Fhir Gateway canonical records","contract: contracts/openapi/fhir-gateway.openapi.yaml; status=partial","partial","","unknown","","","tshepo-authz-service","2 migration(s) in fhir-gateway-service","TSHEPO ext_authz via Envoy","tshepo-authz-service; experience-bff; integration-hub","production=baseline-assessed; impl=implemented-or-partial; frontend=unknown-or-partial","","clinical-service"
"fhir-gateway-service:GatewayProbeController","/internal/v1","services/fhir-gateway-service/src/main/java/zw/gov/mohcc/impilo/fhirgateway/api/GatewayProbeController.java","backend-controller","clinical/care-delivery","REST controller for fhir-gateway-service","contracts/openapi/fhir-gateway.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","fhir-gateway-service","implemented-or-partial","","clinical-service"
"fhir-gateway-service:GatewayRouteController","/internal/v1/gateway","services/fhir-gateway-service/src/main/java/zw/gov/mohcc/impilo/fhirgateway/api/GatewayRouteController.java","backend-controller","clinical/care-delivery","REST controller for fhir-gateway-service","contracts/openapi/fhir-gateway.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","fhir-gateway-service","implemented-or-partial","","clinical-service"
"forms-service","Forms","services/forms-service","backend-service","clinical/clinical-knowledge","Forms canonical records","contract: contracts/openapi/forms.openapi.yaml; status=partial","partial","","unknown","","","tshepo-authz-service","1 migration(s) in forms-service","TSHEPO ext_authz via Envoy","tshepo-authz-service; experience-bff; integration-hub","production=baseline-assessed; impl=implemented-or-partial; frontend=unknown-or-partial","","backend-capability"
"forms-service:FormSchemaController","/internal/v1/forms","services/forms-service/src/main/java/zw/gov/mohcc/impilo/forms/api/FormSchemaController.java","backend-controller","clinical/clinical-knowledge","REST controller for forms-service","contracts/openapi/forms.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","forms-service","implemented-or-partial","","backend-capability"
"general-ledger-service","General Ledger","services/general-ledger-service","backend-service","enterprise/enterprise-resource","General Ledger canonical records","contract: contracts/openapi/general-ledger.openapi.yaml; status=partial","partial","","unknown","","","tshepo-authz-service","1 migration(s) in general-ledger-service","TSHEPO ext_authz via Envoy","tshepo-authz-service; experience-bff; integration-hub","production=baseline-assessed; impl=implemented-or-partial; frontend=unknown-or-partial","","finance-transaction-service"
